shipment_id,origin_node_id,destination_node_id,volume_units,priority_level,baseline_cost_usd
S_000000,NODE_0274,NODE_0238,30,Low,1444
S_000001,NODE_0064,NODE_0027,8,High,4870
S_000002,NODE_0057,NODE_0286,16,Medium,1607
S_000003,NODE_0027,NODE_0265,6,High,2398
S_000004,NODE_0064,NODE_0123,30,Low,4664
S_000005,NODE_0278,NODE_0037,8,High,1184
S_000006,NODE_0173,NODE_0268,18,Low,2627
S_000007,NODE_0133,NODE_0170,18,Low,1960
S_000008,NODE_0022,NODE_0218,16,Low,1644
S_000009,NODE_0112,NODE_0045,17,Low,4123
S_000010,NODE_0036,NODE_0216,24,High,4978
S_000011,NODE_0041,NODE_0164,15,Low,2763
S_000012,NODE_0172,NODE_0015,2,Low,723
S_000013,NODE_0012,NODE_0015,3,Medium,1851
S_000014,NODE_0299,NODE_0041,3,High,2059
S_000015,NODE_0246,NODE_0050,15,High,3543
S_000016,NODE_0029,NODE_0013,24,Low,3394
S_000017,NODE_0160,NODE_0194,22,Low,4628
S_000018,NODE_0148,NODE_0149,9,Low,1196
S_000019,NODE_0279,NODE_0075,20,High,4923
S_000020,NODE_0244,NODE_0147,16,High,1127
S_000021,NODE_0077,NODE_0089,27,Medium,4607
S_000022,NODE_0021,NODE_0160,13,Medium,830
S_000023,NODE_0259,NODE_0222,15,Low,861
S_000024,NODE_0025,NODE_0001,22,Medium,2512
S_000025,NODE_0193,NODE_0176,21,Medium,1226
S_000026,NODE_0185,NODE_0264,9,High,1728
S_000027,NODE_0207,NODE_0193,19,Low,2431
S_000028,NODE_0211,NODE_0076,26,Medium,4691
S_000029,NODE_0116,NODE_0164,12,High,901
S_000030,NODE_0187,NODE_0158,27,Low,3574
S_000031,NODE_0021,NODE_0282,23,Low,4348
S_000032,NODE_0027,NODE_0208,7,Low,3860
S_000033,NODE_0285,NODE_0235,20,Medium,639
S_000034,NODE_0269,NODE_0094,5,Low,997
S_000035,NODE_0137,NODE_0024,30,Low,3708
S_000036,NODE_0129,NODE_0270,4,High,4835
S_000037,NODE_0002,NODE_0133,21,High,2618
S_000038,NODE_0090,NODE_0280,16,Medium,2539
S_000039,NODE_0264,NODE_0099,13,High,2037
S_000040,NODE_0270,NODE_0032,13,Medium,2484
S_000041,NODE_0079,NODE_0033,5,High,3777
S_000042,NODE_0151,NODE_0087,17,High,3019
S_000043,NODE_0208,NODE_0152,6,Low,2488
S_000044,NODE_0214,NODE_0066,12,High,4828
S_000045,NODE_0220,NODE_0109,4,Medium,2563
S_000046,NODE_0042,NODE_0236,28,Low,3696
S_000047,NODE_0149,NODE_0199,6,Medium,3561
S_000048,NODE_0148,NODE_0021,6,Medium,2376
S_000049,NODE_0188,NODE_0174,18,High,2031
S_000050,NODE_0150,NODE_0098,28,High,690
S_000051,NODE_0043,NODE_0240,13,Medium,3868
S_000052,NODE_0143,NODE_0148,17,High,4844
S_000053,NODE_0258,NODE_0011,25,Low,1392
S_000054,NODE_0188,NODE_0123,18,High,4603
S_000055,NODE_0265,NODE_0091,27,Medium,3216
S_000056,NODE_0068,NODE_0238,20,High,1004
S_000057,NODE_0174,NODE_0019,10,High,971
S_000058,NODE_0149,NODE_0122,7,Low,2211
S_000059,NODE_0181,NODE_0099,27,High,2611
S_000060,NODE_0161,NODE_0062,13,High,2317
S_000061,NODE_0072,NODE_0052,3,Low,4225
S_000062,NODE_0269,NODE_0238,24,Low,4959
S_000063,NODE_0024,NODE_0101,8,High,1248
S_000064,NODE_0101,NODE_0252,7,Low,3817
S_000065,NODE_0165,NODE_0115,2,Medium,784
S_000066,NODE_0039,NODE_0042,30,High,4636
S_000067,NODE_0254,NODE_0167,13,Low,4282
S_000068,NODE_0256,NODE_0208,25,High,4796
S_000069,NODE_0004,NODE_0005,30,Low,2209
S_000070,NODE_0013,NODE_0015,19,Low,3240
S_000071,NODE_0212,NODE_0057,18,Low,4791
S_000072,NODE_0006,NODE_0125,23,Medium,3234
S_000073,NODE_0241,NODE_0254,9,High,2823
S_000074,NODE_0061,NODE_0212,30,Low,2250
S_000075,NODE_0200,NODE_0188,20,Medium,1597
S_000076,NODE_0029,NODE_0039,10,High,1080
S_000077,NODE_0063,NODE_0269,21,High,2849
S_000078,NODE_0055,NODE_0276,10,Low,2395
S_000079,NODE_0203,NODE_0271,16,Medium,716
S_000080,NODE_0071,NODE_0208,7,Low,1791
S_000081,NODE_0110,NODE_0258,5,Low,2467
S_000082,NODE_0231,NODE_0140,11,Medium,3926
S_000083,NODE_0039,NODE_0047,9,Low,2908
S_000084,NODE_0066,NODE_0266,18,Medium,851
S_000085,NODE_0187,NODE_0010,25,Medium,2446
S_000086,NODE_0252,NODE_0202,14,Medium,879
S_000087,NODE_0265,NODE_0049,4,High,1555
S_000088,NODE_0218,NODE_0009,2,Low,953
S_000089,NODE_0266,NODE_0104,12,Medium,3759
S_000090,NODE_0045,NODE_0013,13,Low,4232
S_000091,NODE_0037,NODE_0164,24,Low,1318
S_000092,NODE_0089,NODE_0111,9,Medium,3414
S_000093,NODE_0026,NODE_0220,17,High,2002
S_000094,NODE_0223,NODE_0292,4,Medium,4475
S_000095,NODE_0217,NODE_0287,21,Low,2227
S_000096,NODE_0268,NODE_0135,10,High,830
S_000097,NODE_0059,NODE_0123,10,High,540
S_000098,NODE_0270,NODE_0229,25,Low,3306
S_000099,NODE_0152,NODE_0121,16,High,4830
S_000100,NODE_0069,NODE_0208,2,Low,2414
S_000101,NODE_0191,NODE_0063,2,Low,3535
S_000102,NODE_0231,NODE_0009,20,Low,4656
S_000103,NODE_0188,NODE_0289,19,High,1031
S_000104,NODE_0148,NODE_0146,19,Low,629
S_000105,NODE_0231,NODE_0130,19,Low,3800
S_000106,NODE_0293,NODE_0215,25,High,3579
S_000107,NODE_0151,NODE_0282,21,High,4237
S_000108,NODE_0045,NODE_0267,10,Low,4884
S_000109,NODE_0187,NODE_0296,13,High,2533
S_000110,NODE_0075,NODE_0169,19,Low,2911
S_000111,NODE_0010,NODE_0256,29,Medium,2092
S_000112,NODE_0089,NODE_0097,4,Low,2327
S_000113,NODE_0150,NODE_0072,25,Medium,3811
S_000114,NODE_0288,NODE_0286,2,Medium,688
S_000115,NODE_0285,NODE_0242,5,Medium,1464
S_000116,NODE_0234,NODE_0213,29,Low,4120
S_000117,NODE_0089,NODE_0110,10,High,2368
S_000118,NODE_0266,NODE_0112,11,High,3463
S_000119,NODE_0124,NODE_0266,5,High,643
S_000120,NODE_0145,NODE_0001,29,Medium,3838
S_000121,NODE_0060,NODE_0072,29,High,4056
