route_id,from_node_id,to_node_id,transport_mode,distance_km,base_cost_usd,fuel_sensitivity,capacity_units,transit_time_hours
R_00000,NODE_0111,NODE_0126,Sea,9861,267,0.23,19307,188
R_00001,NODE_0185,NODE_0039,Sea,1938,226,0.27,18563,59
R_00002,NODE_0293,NODE_0274,Truck,2795,771,0.62,16478,37
R_00003,NODE_0105,NODE_0298,Rail,1589,1145,0.32,3823,124
R_00004,NODE_0067,NODE_0262,Rail,7584,1254,0.26,17151,180
R_00005,NODE_0157,NODE_0011,Rail,4269,106,0.36,4393,19
R_00006,NODE_0216,NODE_0176,Sea,1144,1208,0.3,4261,128
R_00007,NODE_0016,NODE_0146,Rail,3048,377,0.36,15774,103
R_00008,NODE_0195,NODE_0229,Rail,6254,264,0.35,19671,42
R_00009,NODE_0178,NODE_0060,Truck,8902,904,0.56,9297,221
R_00010,NODE_0001,NODE_0011,Rail,7685,1479,0.36,15897,144
R_00011,NODE_0194,NODE_0117,Truck,7646,808,0.48,8176,232
R_00012,NODE_0057,NODE_0016,Sea,6968,1359,0.26,2512,69
R_00013,NODE_0105,NODE_0034,Truck,9831,168,0.54,3595,70
R_00014,NODE_0022,NODE_0205,Rail,3939,1205,0.28,3849,43
R_00015,NODE_0257,NODE_0148,Truck,9538,753,0.57,12507,68
R_00016,NODE_0154,NODE_0073,Sea,8640,552,0.21,11016,23
R_00017,NODE_0285,NODE_0089,Sea,11220,974,0.23,3536,96
R_00018,NODE_0195,NODE_0268,Rail,11508,952,0.31,11826,104
R_00019,NODE_0094,NODE_0275,Rail,4048,561,0.3,6730,214
R_00020,NODE_0237,NODE_0029,Sea,6861,953,0.23,6393,107
R_00021,NODE_0124,NODE_0130,Truck,5511,1424,0.47,16738,224
R_00022,NODE_0189,NODE_0047,Sea,11971,490,0.16,14359,180
R_00023,NODE_0020,NODE_0037,Truck,9726,1475,0.56,17708,61
R_00024,NODE_0170,NODE_0155,Truck,3570,489,0.64,5844,199
R_00025,NODE_0245,NODE_0124,Sea,10002,518,0.21,9842,149
R_00026,NODE_0164,NODE_0144,Rail,7739,1192,0.35,12106,74
R_00027,NODE_0184,NODE_0262,Rail,7735,301,0.37,17384,202
R_00028,NODE_0163,NODE_0104,Rail,5226,947,0.26,9250,197
R_00029,NODE_0074,NODE_0008,Rail,9165,1296,0.34,15683,83
R_00030,NODE_0078,NODE_0100,Rail,3868,877,0.34,10052,135
R_00031,NODE_0281,NODE_0172,Rail,8105,1414,0.36,17100,51
R_00032,NODE_0180,NODE_0086,Truck,11901,1219,0.55,19764,172
R_00033,NODE_0030,NODE_0268,Truck,1317,1468,0.46,2209,113
R_00034,NODE_0070,NODE_0118,Truck,11686,409,0.45,18571,124
R_00035,NODE_0191,NODE_0030,Sea,10548,1465,0.29,17833,176
